"Step","Grouped runs - collection/reward/intrinsic_episode_reward_mean","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MIN","Grouped runs - collection/reward/intrinsic_episode_reward_mean__MAX"
"394000","0.061860341578722","0.05956524610519409","0.06415543705224991"
"396000","0.061208250001072884","0.053935457020998","0.06848104298114777"
"398000","0.06106884777545929","0.053515516221523285","0.0686221793293953"
"400000","0.06450161151587963","0.059166569262742996","0.06983665376901627"
"402000","0.061175283044576645","0.05959049612283707","0.06276006996631622"
"404000","0.06219440884888172","0.06148432567715645","0.062904492020607"
"406000","0.07011426612734795","0.054383836686611176","0.08584469556808472"
"408000","0.053483448922634125","0.0460471473634243","0.06091975048184395"
"410000","0.06085612811148167","0.060322653502225876","0.06138960272073746"
"412000","0.05116155743598938","0.04283098503947258","0.05949212983250618"
"414000","0.0630490668118","0.050123922526836395","0.07597421109676361"
"416000","0.056401535868644714","0.046148523688316345","0.06665454804897308"
"418000","0.05302472971379757","0.04768843576312065","0.05836102366447449"
"420000","0.058334050700068474","0.05526906996965408","0.061399031430482864"
"422000","0.0604935921728611","0.05736001580953598","0.06362716853618622"
"424000","0.05458197370171547","0.053901560604572296","0.05526238679885864"
"426000","0.05626637861132622","0.047475941479206085","0.06505681574344635"
"428000","0.06595119647681713","0.05505133792757988","0.07685105502605438"
"430000","0.059013836085796356","0.054649002850055695","0.06337866932153702"
"432000","0.06367825344204903","0.059800200164318085","0.06755630671977997"
"434000","0.05965778790414333","0.050234634429216385","0.06908094137907028"
"436000","0.06095361337065697","0.050048261880874634","0.0718589648604393"
"438000","0.05024908669292927","0.04192783683538437","0.05857033655047417"
"440000","0.052337370812892914","0.04863160476088524","0.05604313686490059"
"442000","0.05681259743869305","0.048656534403562546","0.06496866047382355"
"444000","0.057310353964567184","0.052264463156461716","0.06235624477267265"
"446000","0.05113759636878967","0.042286466807127","0.05998872593045235"
"448000","0.050422368571162224","0.04906503111124039","0.05177970603108406"
"450000","0.05089082196354866","0.04644239693880081","0.05533924698829651"
"452000","0.05069905146956444","0.04016384854912758","0.0612342543900013"
"454000","0.05517268739640713","0.04564589634537697","0.06469947844743729"
"456000","0.05795611999928951","0.05662577599287033","0.059286464005708694"
"458000","0.046898553147912025","0.04372916743159294","0.05006793886423111"
"460000","0.04757314175367355","0.04214360564947128","0.053002677857875824"
"462000","0.04853682033717632","0.03995679318904877","0.05711684748530388"
"464000","0.05352259427309036","0.05204670876264572","0.054998479783535004"
"466000","0.05101940222084522","0.046165041625499725","0.05587376281619072"
"468000","0.06381742097437382","0.04567499831318855","0.08195984363555908"
"470000","0.056230902671813965","0.05272399261593819","0.05973781272768974"
"472000","0.052595535293221474","0.04486020281910896","0.060330867767333984"
"474000","0.06484340690076351","0.06183217093348503","0.06785464286804199"
"476000","0.05960052274167538","0.050804417580366135","0.06839662790298462"
"478000","0.0536606814712286","0.04258500412106514","0.06473635882139206"
"480000","0.05285807512700558","0.03963899239897728","0.06607715785503387"
"482000","0.05132029019296169","0.04518849775195122","0.05745208263397217"
"484000","0.05027160048484802","0.03983611613512039","0.06070708483457565"
"486000","0.04713132046163082","0.040474776178598404","0.05378786474466324"
"488000","0.04697686992585659","0.04465828090906143","0.04929545894265175"
"490000","0.051491545513272285","0.04220080003142357","0.060782290995121"
"492000","0.049345821142196655","0.0491969957947731","0.04949464648962021"
"494000","0.055928707122802734","0.051588498055934906","0.06026891618967056"
"496000","0.05207376554608345","0.0434555783867836","0.0606919527053833"
"498000","0.052160415798425674","0.04187305271625519","0.06244777888059616"
"500000","0.06360774673521519","0.056107860058546066","0.07110763341188431"
"502000","0.058862753212451935","0.05368492007255554","0.06404058635234833"
"504000","0.05584209971129894","0.045459482818841934","0.06622471660375595"
"506000","0.05915027856826782","0.056495845317840576","0.06180471181869507"
"508000","0.0432193074375391","0.03767827898263931","0.04876033589243889"
"510000","0.06565224565565586","0.047665465623140335","0.08363902568817139"
"512000","0.05137564241886139","0.04747176915407181","0.05527951568365097"
"514000","0.05065254122018814","0.035126134753227234","0.06617894768714905"
"516000","0.05370684154331684","0.04973562806844711","0.05767805501818657"
