"Step","Grouped runs - collection/reward/mean_ext_return_100","Grouped runs - collection/reward/mean_ext_return_100__MIN","Grouped runs - collection/reward/mean_ext_return_100__MAX"
"338000","-1.9829955754615365","-2.135995577752592","-1.8299955731704813"
"340000","-1.9799955780245364","-2.1179955776333825","-1.84199557841569"
"342000","-1.96499557742849","-2.1059955795407315","-1.8239955753162485"
"344000","-1.9709955790378149","-2.1179955824017545","-1.8239955756738755"
"346000","-1.949995576191693","-2.0999955812394635","-1.7999955711439224"
"348000","-1.9469955754764374","-2.0879955807626267","-1.8059955701902481"
"350000","-1.9739955729730423","-2.111995582908394","-1.8359955630376907"
"352000","-1.9709955704696471","-2.123995578616859","-1.817995562322435"
"354000","-1.9859955683834847","-2.1479955777823942","-1.8239955589845749"
"356000","-1.991995567131787","-2.1599955758750458","-1.8239955583885286"
"358000","-1.9949955687411127","-2.159995577663185","-1.82999555981904"
"360000","-2.003995569203048","-2.20199557954073","-1.8059955588653656"
"362000","-1.9679955713190136","-2.171995584458114","-1.7639955581799132"
"364000","-1.9679955713190136","-2.1779955858886253","-1.7579955567494017"
"366000","-1.9739955694712694","-2.1899955815970906","-1.7579955573454482"
"368000","-1.997995570722967","-2.213995584934951","-1.781995556510983"
"370000","-2.0069955692924557","-2.225995585411788","-1.7879955531731229"
"372000","-2.0129955677427347","-2.2259955830276024","-1.7999955524578672"
"374000","-2.012995569188147","-2.237995583504439","-1.7879955548718545"
"376000","-2.009995563108473","-2.231995577305556","-1.78799554891139"
"378000","-1.985995560962706","-2.1839955777823934","-1.7879955441430184"
"380000","-1.985995558280497","-2.183995570629836","-1.7879955459311576"
"382000","-1.9799955559559157","-2.15999556490779","-1.7999955470040414"
"384000","-1.9859955573864272","-2.1779955691993247","-1.79399554557353"
"386000","-1.973995560381561","-2.1599955720603474","-1.7879955487027746"
"388000","-1.9799955641962583","-2.1539955789744862","-1.8059955494180304"
"390000","-1.9769955646730955","-2.1479955799281605","-1.8059955494180304"
"392000","-1.9829955684877927","-2.153995581358672","-1.8119955556169134"
"394000","-1.9919955676533276","-2.1479955811202536","-1.835995554186402"
"396000","-1.9949955677725373","-2.123995584934951","-1.8659955506101233"
"398000","-2.015995567400007","-2.1539955860972397","-1.8779955487027746"
"400000","-2.012995566684751","-2.1479955894350997","-1.877995543934403"
"402000","-2.0189955686666057","-2.1299955939948543","-1.9079955433383566"
"404000","-2.039995566520838","-2.147995593518017","-1.9319955395236592"
"406000","-2.0489955638982336","-2.1539955925643426","-1.943995535232125"
"408000","-2.0519955646134895","-2.153995587795971","-1.949995541431008"
