frame,step,timestamp,eval_return_mean,eval_return_std,eval_return_min,eval_return_max,algorithm,environment,task,seed,eval_win_rate
160000,79,2026-05-22T18:52:26.294365,3.224116802215576,1.60855233669281,1.0179394483566284,6.719008445739746,qmix,smacv2,terran_10_vs_10,100,0.0
162000,80,2026-05-22T18:56:18.862989,3.320160388946533,1.7102444171905518,0.7314371466636658,6.520661354064941,qmix,smacv2,terran_10_vs_10,100,0.0
164000,81,2026-05-22T19:00:14.363414,3.077972412109375,1.69087815284729,0.93388432264328,7.371706962585449,qmix,smacv2,terran_10_vs_10,100,0.0
166000,82,2026-05-22T19:04:13.394679,2.972404718399048,1.3909635543823242,0.9734150171279907,6.694214820861816,qmix,smacv2,terran_10_vs_10,100,0.0
168000,83,2026-05-22T19:08:15.990348,3.3163020610809326,1.3514727354049683,1.34560227394104,6.264461994171143,qmix,smacv2,terran_10_vs_10,100,0.0
170000,84,2026-05-22T19:12:19.049517,3.931555986404419,1.928078532218933,1.4294071197509766,9.206610679626465,qmix,smacv2,terran_10_vs_10,100,0.0
172000,85,2026-05-22T19:16:28.618113,3.449545383453369,1.9856467247009277,1.2192989587783813,9.785058975219727,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
174000,86,2026-05-22T19:20:40.802509,3.551888942718506,2.1610066890716553,1.3326225280761719,9.710745811462402,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
176000,87,2026-05-22T19:24:43.872136,3.0039920806884766,1.737363338470459,0.7848010659217834,7.066115379333496,qmix,smacv2,terran_10_vs_10,100,0.0
178000,88,2026-05-22T19:28:46.793173,3.0523808002471924,1.7661033868789673,0.7221115231513977,8.842973709106445,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
180000,89,2026-05-22T19:32:40.583023,2.746981620788574,1.1280782222747803,0.8664854764938354,5.123966693878174,qmix,smacv2,terran_10_vs_10,100,0.0
182000,90,2026-05-22T19:36:38.062864,2.3295657634735107,1.0889298915863037,0.9555341005325317,5.638571262359619,qmix,smacv2,terran_10_vs_10,100,0.0
184000,91,2026-05-22T19:40:33.801167,2.998091220855713,1.8103426694869995,0.8851004838943481,6.8029937744140625,qmix,smacv2,terran_10_vs_10,100,0.0
186000,92,2026-05-22T19:44:25.521139,3.1938016414642334,1.453939437866211,0.4727732539176941,6.316931247711182,qmix,smacv2,terran_10_vs_10,100,0.0
188000,93,2026-05-22T19:48:16.958701,2.7719388008117676,1.807845115661621,0.692709743976593,8.181817054748535,qmix,smacv2,terran_10_vs_10,100,0.05000000074505806
190000,94,2026-05-22T19:52:06.394759,2.7751474380493164,1.100798487663269,0.6725611090660095,4.933884143829346,qmix,smacv2,terran_10_vs_10,100,0.0
192000,95,2026-05-22T19:55:57.143894,3.1244213581085205,1.5540410280227661,1.2322059869766235,6.8681840896606445,qmix,smacv2,terran_10_vs_10,100,0.0
194000,96,2026-05-22T19:59:51.160936,3.4400603771209717,1.9505865573883057,0.3967587947845459,7.363635063171387,qmix,smacv2,terran_10_vs_10,100,0.0
196000,97,2026-05-22T20:03:41.806452,2.4860119819641113,0.9912853240966797,0.5738677382469177,4.123966693878174,qmix,smacv2,terran_10_vs_10,100,0.0
198000,98,2026-05-22T20:07:28.005142,3.052182674407959,1.43523371219635,0.8239806890487671,5.773849010467529,qmix,smacv2,terran_10_vs_10,100,0.0
